Date,Close
14/03/2022,4172
15/03/2022,4262
16/03/2022,4358
17/03/2022,4410.25
18/03/2022,4409.35
21/03/2022,4452.25
22/03/2022,4505
23/03/2022,4447.5
24/03/2022,4512.5
25/03/2022,4536.5
28/03/2022,4568
29/03/2022,4625.5
30/03/2022,4596
31/03/2022,4530.75
01/04/2022,4539.25
04/04/2022,4577.75
05/04/2022,4520.25
06/04/2022,4475.75
07/04/2022,4496.25
08/04/2022,4483.5
11/04/2022,4409
12/04/2022,4393
13/04/2022,4442.25
14/04/2022,4387.5
18/04/2022,4386.75
19/04/2022,4459.25
20/04/2022,4455.5
21/04/2022,4390.5
22/04/2022,4267.25
25/04/2022,4292.75
26/04/2022,4170.5
27/04/2022,4180.25
28/04/2022,4283.5
29/04/2022,4127.5
02/05/2022,4151
03/05/2022,4169.25
04/05/2022,4295.25
05/05/2022,4143.25
06/05/2022,4119.5
09/05/2022,3987.5
10/05/2022,3996.75
11/05/2022,3930.25
12/05/2022,3927.25
13/05/2022,4019.75
16/05/2022,4004.75
17/05/2022,4084.75
18/05/2022,3922.75
19/05/2022,3897.75
20/05/2022,3899.5
23/05/2022,3971.75
24/05/2022,3940.5
25/05/2022,3976.75
26/05/2022,4055.75
27/05/2022,4155.75
31/05/2022,4131.25
01/06/2022,4099
02/06/2022,4175.25
03/06/2022,4107
06/06/2022,4120.5
07/06/2022,4158.75
08/06/2022,4114
09/06/2022,4016.25
10/06/2022,3899
13/06/2022,3750.5
14/06/2022,3736.75
15/06/2022,3789.25
16/06/2022,3668.25
17/06/2022,3663.76
21/06/2022,3767.75
22/06/2022,3762.75
23/06/2022,3799.75
24/06/2022,3916.25
27/06/2022,3903.75
28/06/2022,3825.5
29/06/2022,3821.25
30/06/2022,3789.5
01/07/2022,3827.25
05/07/2022,3834
06/07/2022,3848.25
07/07/2022,3905
08/07/2022,3901.25
11/07/2022,3856.75
12/07/2022,3823.75
13/07/2022,3804.5
14/07/2022,3793.25
15/07/2022,3865
18/07/2022,3833.75
19/07/2022,3937.5
20/07/2022,3962.5
21/07/2022,4001.25
22/07/2022,3965
25/07/2022,3970
26/07/2022,3923.25
27/07/2022,4024.5
28/07/2022,4073.5
29/07/2022,4133.5
01/08/2022,4120.5
02/08/2022,4093.75
03/08/2022,4156.25
04/08/2022,4152.25
05/08/2022,4146.75
08/08/2022,4141.75
09/08/2022,4124.5
10/08/2022,4210
11/08/2022,4209.75
12/08/2022,4281
15/08/2022,4298.25
16/08/2022,4307.75
17/08/2022,4276.75
18/08/2022,4286.5
19/08/2022,4231.5
22/08/2022,4141.25
23/08/2022,4130.5
24/08/2022,4142.75
25/08/2022,4201
26/08/2022,4059.5
29/08/2022,4031.25
30/08/2022,3987.5
31/08/2022,3956.5
01/09/2022,3968.75
02/09/2022,3924.5
06/09/2022,3910.5
07/09/2022,3980
08/09/2022,4005.5
09/09/2022,4067.25
12/09/2022,4110.75
13/09/2022,3931.25
14/09/2022,3947.5
15/09/2022,3902
16/09/2022,3871.24
19/09/2022,3917.25
20/09/2022,3872.75
21/09/2022,3806.25
22/09/2022,3772
23/09/2022,3709
26/09/2022,3670
27/09/2022,3661
28/09/2022,3732
29/09/2022,3654.25
30/09/2022,3601.5
03/10/2022,3690.25
04/10/2022,3803.25
05/10/2022,3794
06/10/2022,3756.75
07/10/2022,3653.25
10/10/2022,3625.25
11/10/2022,3599.25
12/10/2022,3588.5
13/10/2022,3681.75
14/10/2022,3597.5
17/10/2022,3689.25
18/10/2022,3732.75
19/10/2022,3707.25
20/10/2022,3675.25
21/10/2022,3764
24/10/2022,3809.25
25/10/2022,3870.25
26/10/2022,3841
